trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.02, 'e': 0.1353352832366127}",30,12,8.411808725370403,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.13265546508012172}",25,8,30.81074655571442,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.1300287108784259}",20,0,-13.077685335819575,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.02, 'e': 0.12745396989482075}",20,13,13.663912878917635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.02, 'e': 0.12493021219858241}",20,5,30.148649324410563,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.1224564282529819}",25,13,19.72393247414614,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.12003162851145673}",20,14,12.111351560486698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11765484302177918}",25,5,-23.660551015449325,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.02, 'e': 0.11532512103806251}",30,18,18.965336112044717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.11304153064044985}",20,11,-22.913425391745797,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.02, 'e': 0.11080315836233387}",25,6,23.12571101493426,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.10860910882495796}",30,9,24.304533397628457,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.1064585043792528}",25,9,8.780416039121226,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.104350484754765}",25,19,11.745178541384913,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.02, 'e': 0.10228420671553744}",25,11,16.40024489122807,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.02, 'e': 0.1002588437228037}",25,13,20.309068374260573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09827358560436154}",20,6,18.533342800064375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
